t_s,mq2_adc,soil1_adc,soil2_adc,temp_c,humidity_pct,gas_alert,garden_dry,leak_alert,fan1,fan2,pump,face_event,face_score,inference_ms
65,141,391,32,25,55,0,0,0,0,0,0,,0.576,81
66,156,388,34,25,54,0,0,0,0,0,0,,0.556,79
67,146,386,32,25,54,0,0,0,0,0,0,,0.441,79
68,137,387,34,25,54,0,0,0,0,0,0,,0.495,75
69,129,375,33,25,53,0,0,0,0,0,0,,0.358,82
70,122,387,39,25,53,0,0,0,0,0,0,,0.696,129
71,117,378,37,25,53,0,0,0,0,0,0,,0.563,116
72,112,385,30,25,52,0,0,0,0,0,0,,0.674,95
73,104,370,39,25,52,0,0,0,0,0,0,,0.512,118
74,93,373,38,25,52,0,0,0,0,0,0,,0.588,134
75,87,372,34,25,51,0,0,0,0,0,0,,0.681,97
76,77,371,30,25,51,0,0,0,0,0,0,,0.449,96
77,72,359,34,25,51,0,0,0,0,0,0,,0.619,95
78,66,354,38,25,51,0,0,0,0,0,0,,0.685,87
79,67,353,31,24,50,0,0,0,0,0,0,,0.407,82
80,63,351,32,24,50,0,0,0,0,0,0,,0.533,113
81,69,368,34,24,50,0,0,0,0,0,0,,0.36,112
82,66,357,36,24,50,0,0,0,0,0,0,,0.484,90
83,71,357,40,24,50,0,0,0,0,0,0,,0.427,83
84,67,359,30,24,49,0,0,0,0,0,0,,0.582,134
85,70,357,36,24,49,0,0,0,0,0,0,,0.661,125
86,68,345,30,24,49,0,0,0,0,0,0,,0.356,109
87,70,349,34,24,49,0,0,0,0,0,0,,0.685,83
88,72,352,31,24,49,0,0,0,0,0,0,,0.644,110
89,68,352,38,24,49,0,0,0,0,0,0,,0.637,96
90,73,346,35,24,49,0,0,0,0,0,0,,0.37,128
91,68,348,33,24,49,0,0,0,0,0,0,,0.515,89
92,73,342,32,24,49,0,0,0,0,0,0,,0.675,132
93,74,336,35,24,49,0,0,0,0,0,0,,0.683,89
94,72,330,35,24,49,0,0,0,0,0,0,,0.651,98
95,70,334,40,24,49,0,0,0,0,0,0,,0.51,126
96,71,336,34,24,49,0,0,0,0,0,0,,0.416,115
97,71,320,37,24,49,0,0,0,0,0,0,,0.663,135
98,70,330,36,24,49,0,0,0,0,0,0,recognized,0.757,80
99,70,323,38,24,49,0,0,0,0,0,0,,0.606,83
100,73,313,30,24,49,0,0,0,0,0,0,,0.537,129
101,73,326,34,24,49,0,0,0,0,0,0,,0.55,100
102,70,323,38,24,49,0,0,0,0,0,0,,0.634,117
103,67,320,31,24,49,0,0,0,0,0,0,,0.38,121
104,69,312,38,24,49,0,0,0,0,0,0,,0.442,77
105,70,318,40,24,49,0,0,0,0,0,0,,0.626,85
106,67,307,38,24,50,0,0,0,0,0,0,,0.45,83
107,67,302,40,24,50,0,0,0,0,0,0,,0.353,113
108,69,309,36,24,50,0,0,0,0,0,0,,0.474,124
109,69,309,32,24,50,0,0,0,0,0,0,,0.603,76
110,64,300,38,23,51,0,1,0,0,0,1,,0.401,76
111,62,304,40,23,51,0,0,0,0,0,0,,0.659,116
112,67,286,35,23,51,0,1,0,0,0,1,,0.372,94
113,62,301,32,23,51,0,0,0,0,0,0,,0.56,90
114,62,285,35,23,52,0,1,0,0,0,1,,0.52,130
115,66,282,36,23,52,0,1,0,0,0,1,,0.442,94
116,65,281,60,23,52,0,1,0,0,0,1,,0.516,106
117,59,293,88,23,53,0,1,0,0,0,1,,0.436,97
118,63,288,114,23,53,0,1,0,0,0,1,,0.471,79
119,64,274,137,23,53,0,1,0,0,0,1,,0.622,91
120,63,277,157,23,54,0,1,0,0,0,1,,0.464,107
121,61,278,185,23,54,0,1,0,0,0,1,,0.667,121
122,61,281,211,23,54,0,1,0,0,0,1,,0.46,87
123,62,278,233,23,55,0,1,0,0,0,1,,0.653,133
124,57,273,261,23,55,0,1,0,0,0,1,,0.641,112
125,58,266,282,23,55,0,1,0,0,0,1,,0.505,111
126,59,262,311,23,55,0,1,1,0,0,0,,0.444,128
127,54,266,334,23,55,0,1,1,0,0,0,,0.644,103
128,56,258,363,23,55,0,1,1,0,0,0,,0.569,89
129,56,256,388,23,56,0,1,1,0,0,0,,0.62,92
130,56,268,412,23,56,0,1,1,0,0,0,,0.572,100
131,54,265,35,23,56,0,1,0,0,0,1,,0.586,96
132,54,261,40,23,57,0,1,0,0,0,1,,0.647,135
133,60,261,38,23,57,0,1,0,0,0,1,,0.423,97
134,59,252,30,23,57,0,1,0,0,0,1,,0.673,121
135,55,240,34,23,58,0,1,0,0,0,1,,0.546,91
136,55,248,39,23,58,0,1,0,0,0,1,,0.576,101
137,60,251,37,23,58,0,1,0,0,0,1,,0.469,77
138,60,241,40,23,59,0,1,0,0,0,1,,0.392,129
139,57,242,30,23,59,0,1,0,0,0,1,,0.623,125
140,58,246,34,23,59,0,1,0,0,0,1,unknown,0.305,110
141,61,234,38,23,59,0,1,0,0,0,1,,0.619,81
142,57,236,33,23,60,0,1,0,0,0,1,,0.68,88
143,61,229,34,23,60,0,1,0,0,0,1,,0.379,101
144,62,238,40,23,60,0,1,0,0,0,1,,0.556,83
145,58,220,34,23,60,0,1,0,0,0,1,,0.679,77
146,59,235,38,23,60,0,1,0,0,0,1,,0.696,135
147,62,226,35,23,61,0,1,0,0,0,1,,0.472,113
148,63,222,37,23,61,0,1,0,0,0,1,,0.659,128
149,62,213,40,23,61,0,1,0,0,0,1,,0.522,76
150,64,221,34,23,61,0,1,0,0,0,1,,0.643,104
151,62,219,34,23,61,0,1,0,0,0,1,,0.529,121
152,64,215,33,23,61,0,1,0,0,0,1,,0.554,127
153,65,206,40,23,61,0,1,0,0,0,1,,0.581,118
154,67,211,37,23,61,0,1,0,0,0,1,,0.566,129
155,67,216,39,23,61,0,1,0,0,0,1,recognized,0.718,96
156,66,203,31,23,61,0,1,0,0,0,1,,0.696,130
157,70,201,34,23,61,0,1,0,0,0,1,,0.687,130
158,69,210,36,23,61,0,1,0,0,0,1,,0.571,134
159,70,198,30,23,61,0,1,0,0,0,1,,0.512,88
160,69,206,38,23,61,0,1,0,0,0,1,,0.394,88
161,73,196,37,23,61,0,1,0,0,0,1,,0.398,118
162,73,196,35,23,61,0,1,0,0,0,1,,0.699,100
163,71,203,38,23,61,0,1,0,0,0,1,,0.416,113
164,72,186,32,23,61,0,1,0,0,0,1,,0.396,127
165,74,198,30,23,61,0,1,0,0,0,1,,0.631,130
166,68,186,34,23,61,0,1,0,0,0,1,,0.679,86
167,69,184,38,23,61,0,1,0,0,0,1,,0.593,83
168,71,179,32,23,60,0,1,0,0,0,1,,0.593,123
169,69,176,36,23,60,0,1,0,0,0,1,,0.574,106
170,72,170,34,23,60,0,1,0,0,0,1,,0.427,98
171,72,170,37,23,60,0,1,0,0,0,1,,0.588,101
172,69,176,32,23,60,0,1,0,0,0,1,,0.6,77
173,71,164,30,24,59,0,1,0,0,0,1,,0.383,112
174,74,170,35,24,59,0,1,0,0,0,1,,0.615,85
175,72,166,31,24,59,0,1,0,0,0,1,,0.498,102
176,68,163,33,24,59,0,1,0,0,0,1,,0.429,106
177,68,167,32,24,58,0,1,0,0,0,1,,0.538,130
178,70,167,37,24,58,0,1,0,0,0,1,,0.65,120
179,67,161,40,24,58,0,1,0,0,0,1,,0.608,134
